ID, DateOfData, Variable01, Variable02, Variable03, Variable04, Variable05, Variable06, Variable07, Variable08, Variable09, Variable10, Variable11, Result01, Result02, Result03
256936,6/1/2018 0:10,2,,23,3,606,NM,72,0,-0.0087,-3.53,21547,1,0,0
256937,6/1/2018 0:13,2,,23,3,660,AZ,64,,,,18050.4,2.5,1,1
256938,6/1/2018 0:33,2,,23,3,699,NJ,25,0,0.0241,276.68,,2.5,0,0
256939,6/1/2018 0:45,2,,23,3,653,FL,27,0,0.1204,268.81,,1,0,0
256940,6/1/2018 0:49,2,,23,3,566,MA,74,,,,,1,0,0
256941,6/1/2018 1:21,2,,23,3,691,CA,40,0,0.0822,57.38,,1,0,0
256942,6/1/2018 1:26,2,,23,3,,CA,,,,,,1,0,0
256943,6/1/2018 1:26,2,,23,3,600,IL,66,,,,,1,0,0
256944,6/1/2018 1:35,2,,23,3,716,FL,,480,,,,1,0,0
256945,6/1/2018 1:44,2,,23,3,647,AR,72,,,,,1,0,0
256946,6/1/2018 2:01,2,,23,3,601,CA,16,0,0.1245,164.09,3811,1,0,0
256947,6/1/2018 2:01,1,3,23,3,567,FL,,,,,,1,0,0
256948,6/1/2018 2:38,2,,23,3,697,PA,53,670,-0.0082,134.69,,2.5,0,0
256949,6/1/2018 2:41,2,,23,3,721,WV,58,0,0.121,113.21,14050,1,1,0
256950,6/1/2018 3:06,2,,23,3,617,AZ,51,2900,-0.0081,163.28,18211,2.5,1,0
256951,6/1/2018 3:45,2,,23,3,708,TX,,0,,,957,1,0,0
256952,6/1/2018 3:49,2,,23,3,683,CA,62,,,,,1,0,0
256953,6/1/2018 4:17,2,,23,3,698,PA,57,0,0.0439,179.59,,1,0,0
256954,6/1/2018 4:23,2,,23,3,643,WV,68,160,0.1863,167.2,18508.89,3,1,1
256955,6/1/2018 4:25,2,,23,3,691,NY,49,0,-0.0219,58.17,,1,0,0
256956,6/1/2018 4:33,2,,23,3,,LA,,,,,7670,2.5,1,0
256957,6/1/2018 4:36,2,,23,3,613,GA,41,3160,0.0475,160.7,8529,1,0,0
256958,6/1/2018 4:47,2,,23,3,,TX,,,,,26413,2,0,0
256959,6/1/2018 4:50,2,,23,3,,IL,,,,,,1,0,0
256960,6/1/2018 4:55,2,,23,3,705,ME,66,0,0.0143,88.54,25209,1,1,0
256961,6/1/2018 5:02,2,,23,3,577,NY,35,,,,,1,0,0
256962,6/1/2018 5:18,2,,23,3,,FL,,,,,,1,0,0
256963,6/1/2018 5:23,2,,23,3,663,CA,,,,,,2,0,0
256964,6/1/2018 5:23,2,,23,3,722,FL,68,0,0.0587,24.64,15252,2,1,0
256965,6/1/2018 5:46,2,,23,3,,VA,,,,,,1,0,0
256966,6/1/2018 5:51,2,,23,3,741,SC,,0,,,29799,1,0,0
256967,6/1/2018 5:54,2,,23,3,673,NV,48,,,,,1,0,0
257026,6/1/2018 0:00,2,,1,4,642,TX,46,0,-0.0276,155.95,19244,1,1,0
257027,6/1/2018 0:02,2,,1,4,586,CA,29,2980,0.0239,240.06,,1,0,0
257028,6/1/2018 0:02,2,,1,4,811,TX,,0,,,28449,1,0,0
257029,6/1/2018 0:15,2,,1,4,620,GA,79,0,0.0647,69,18670,2,0,0
257030,6/1/2018 0:30,2,,1,4,648,CA,,27240,,,,1,0,0
257031,6/1/2018 0:32,2,,1,4,640,CA,59,,,,,1,0,0
257032,6/1/2018 0:40,2,,1,4,612,TX,38,,,,,1,0,0
257033,6/1/2018 0:45,2,,1,4,678,TX,,188010,,,,1,0,0
257034,6/1/2018 1:02,2,,1,4,712,OR,74,0,0.0025,76.14,44663,1,0,0
257035,6/1/2018 1:32,2,,1,4,,NV,,,,,,1,0,0
257036,6/1/2018 1:33,2,,1,4,579,NY,32,,,,,1,0,0
257037,6/1/2018 2:18,2,,1,4,633,AR,43,5510,0.0399,129.24,,1,0,0
257038,6/1/2018 2:37,2,,1,4,570,NY,60,,,,,1,0,0
257039,6/1/2018 2:47,1,1,1,4,,NY,,,,,,1,0,0
257040,6/1/2018 3:28,2,,1,4,608,HI,47,,,,,1,0,0
257041,6/1/2018 3:53,2,,1,4,634,MD,,125200,,,,1,0,0
257042,6/1/2018 4:03,1,1,1,4,680,FL,,0,,,,1,0,0
257043,6/1/2018 4:13,1,1,1,4,799,HI,,0,,,35646.85,3,0,1
257044,6/1/2018 4:23,2,,1,4,733,MN,64,0,0.027,59.25,22630,1,1,0
257045,6/1/2018 4:47,2,,1,4,709,AZ,49,0,0.0596,141.21,,1,0,0
257046,6/1/2018 4:51,2,,1,4,531,NC,54,,,,,1,0,0
257047,6/1/2018 4:56,2,,1,4,691,MO,62,0,0.0179,50,19444,1,1,0
257048,6/1/2018 5:05,1,1,1,4,768,OH,,0,,,,1,0,0
257049,6/1/2018 5:34,2,,1,4,801,AL,60,0,0.014,111.5,22343,1,1,0
257050,6/1/2018 5:39,2,,1,4,729,NJ,45,0,-0.0176,93.02,15128,1,0,1
257051,6/1/2018 5:42,2,,1,4,772,SC,60,0,0.0143,34.97,13244,1,1,0
257052,6/1/2018 5:49,2,,1,4,723,TX,64,0,-0.0196,154.78,54071,2,1,0
257053,6/1/2018 5:53,2,,1,4,589,TX,61,0,-0.0059,-19.94,,2,0,0
257054,6/1/2018 5:53,2,,1,4,697,GA,56,0,0.1541,60.87,8671,2,0,0
257068,6/1/2018 0:02,2,,11,4,599,AL,56,,,,,1,0,0
257069,6/1/2018 0:02,2,,11,4,617,FL,51,5850,-0.0471,169.35,,1,0,0
257070,6/1/2018 1:38,2,,11,4,613,NC,70,0,-0.0819,-48.97,,2,0,0
257074,6/1/2018 0:05,1,1,32,3,692,CA,,0,,,,1,0,0
257083,6/1/2018 3:15,1,3,102,2,715,CA,,0,,,16479,2,0,0
257121,6/1/2018 0:12,1,2,105,1,,AL,,,,,,1,0,0
257122,6/1/2018 0:49,1,2,105,1,709,NM,,0,,,22783,2,1,1
257123,6/1/2018 1:03,1,2,105,1,535,CA,,,,,,1,0,0
257124,6/1/2018 1:40,1,2,105,1,630,CA,,,,,,1,0,0
257125,6/1/2018 1:42,1,2,105,1,9003,TX,,,,,,1,0,0
257126,6/1/2018 1:52,1,2,105,1,653,IN,,0,,,15639,1,1,1
257127,6/1/2018 1:59,1,2,105,1,647,NJ,,,,,,1,0,0
257128,6/1/2018 1:59,1,2,105,1,647,NJ,,,,,,2,0,0
257130,6/1/2018 2:00,1,2,105,1,674,TX,,,,,,1,0,0
257131,6/1/2018 2:44,1,2,105,1,9003,FL,,,,,,1,0,0
257132,6/1/2018 2:48,1,2,105,1,,CA,,,,,,1,0,0
257133,6/1/2018 2:59,1,2,105,1,9003,CA,,,,,,1,0,0
257134,6/1/2018 3:21,1,2,105,1,480,MI,,,,,,1,0,0
257135,6/1/2018 3:22,1,2,105,1,480,MI,,,,,,1,0,0
257137,6/1/2018 3:23,1,2,105,1,480,MI,,,,,,1,0,0
257138,6/1/2018 3:38,1,2,105,1,677,TX,,0,,,9574,1,0,0
257139,6/1/2018 3:47,1,2,105,1,572,IL,,,,,,1,0,0
257140,6/1/2018 4:05,1,2,105,1,479,SC,,,,,,1,0,0
257141,6/1/2018 4:05,1,2,105,1,479,SC,,,,,,1,0,0
257142,6/1/2018 4:06,1,2,105,1,479,SC,,,,,,1,0,0
257143,6/1/2018 4:22,1,2,105,1,513,TX,,,,,,1,0,0
257144,6/1/2018 4:23,1,2,105,1,513,TX,,,,,,1,0,0
257146,6/1/2018 4:23,1,2,105,1,513,TX,,,,,,1,0,0
257147,6/1/2018 4:58,1,2,105,1,719,PA,,,,,,1,0,0
257148,6/1/2018 5:08,1,2,105,1,,PA,,,,,,1,0,0
257149,6/1/2018 5:37,1,2,105,1,496,NC,,,,,,1,0,0
257150,6/1/2018 5:38,1,2,105,1,496,NC,,,,,,1,0,0
257151,6/1/2018 5:39,1,2,105,1,496,NC,,,,,,1,0,0
257152,6/1/2018 5:40,1,2,105,1,496,NC,,,,,,1,0,0
257153,6/1/2018 5:41,1,2,105,1,496,NC,,,,,,1,0,0
257154,6/1/2018 5:42,1,2,105,1,496,NC,,,,,,1,0,0
257394,6/1/2018 5:56,1,2,105,1,709,VT,,,,,,1,0,0
257395,6/1/2018 6:05,2,,23,3,685,IL,71,0,0.0625,241.14,50066.41,5,1,1
257396,6/1/2018 6:07,2,,1,4,620,IN,75,0,-0.053,-103.56,30498,1,0,0
257397,6/1/2018 6:08,2,,1,4,643,VA,35,0,0.1205,228.4,12891,1,1,0
257398,6/1/2018 6:03,1,2,105,1,512,MI,,,,,,1,0,0
257399,6/1/2018 6:04,1,2,105,1,512,MI,,,,,,1,0,0
257400,6/1/2018 6:10,2,,23,3,674,LA,45,4540,0.0724,254.66,,1,0,0
257401,6/1/2018 6:05,1,2,105,1,512,MI,,,,,,1,0,0
257402,6/1/2018 6:06,2,,23,3,725,OK,42,,,,,1,0,0
257403,6/1/2018 6:20,2,,1,4,782,NC,64,0,0.0076,105.5,27856,2,1,0
257404,6/1/2018 6:21,2,,23,3,590,OK,42,2380,0.1359,163.32,,1,0,0
257405,6/1/2018 6:21,2,,23,3,590,OK,42,2380,0.1359,163.32,,1,0,0
257406,6/1/2018 6:23,2,,1,4,632,CA,54,0,0.021,222.8,31255,2,1,0
257407,6/1/2018 6:23,2,,23,3,590,OK,42,2380,0.1359,163.32,,1,0,0
257408,6/1/2018 6:18,2,,23,3,676,MA,,,,,,1,0,0
257409,6/1/2018 6:24,2,,1,4,730,TX,85,0,0.0259,36.74,,1,0,0
257410,6/1/2018 6:25,2,,23,3,742,WI,70,0,0.0101,44.9,,1,0,0
257411,6/1/2018 6:22,1,2,105,1,519,AL,,,,,,1,0,0
257412,6/1/2018 6:23,1,2,105,1,519,AL,,,,,,1,0,0
257413,6/1/2018 6:24,1,2,105,1,519,AL,,,,,,1,0,0
257415,6/1/2018 6:25,1,2,105,1,,NJ,,,,,,1,0,0
